HEART RATE DATE/TIME,VALUE,,,,,,,,,
  3:16:05 AM,70,,,,,,,,,
  3:16:20 AM,70,,,,,,,,,
  3:16:35 AM,70,,,,,,,,,
  3:16:50 AM,70,,,,,,,,,
  12:11:10 PM,70,,,,,,,,,
  12:11:25 PM,70,,,,,,,,,
  12:13:40 PM,70,,,,,,,,,
  12:13:55 PM,70,,,,,,,,,
  12:16:40 PM,70,,,,,,,,,
  12:16:55 PM,70,,,,,,,,,
  12:53:00 PM,78,,,,,,,,,
  12:53:05 PM,80,,,,,,,,,
  12:53:20 PM,80,,,,,,,,,
  12:53:25 PM,77,,,,,,,,,
  12:54:00 PM,86,,,,,,,,,
  12:54:10 PM,85,,,,,,,,,
  12:54:15 PM,86,,,,,,,,,
  12:54:25 PM,85,,,,,,,,,
  12:54:30 PM,84,,,,,,,,,
  12:54:35 PM,83,,,,,,,,,
  12:54:40 PM,84,,,,,,,,,
  12:54:45 PM,86,,,,,,,,,
  12:54:50 PM,90,,,,,,,,,
  12:54:55 PM,93,,,,,,,,,
  12:55:05 PM,91,,,,,,,,,
  12:55:20 PM,91,,,,,,,,,
  12:55:25 PM,92,,,,,,,,,
  12:55:30 PM,92,,,,,,,,,
  12:55:35 PM,91,,,,,,,,,
  12:55:40 PM,90,,,,,,,,,
  12:55:55 PM,90,,,,,,,,,
  12:56:10 PM,90,,,,,,,,,
  12:56:20 PM,89,,,,,,,,,
  12:56:35 PM,90,,,,,,,,,
  12:56:50 PM,90,,,,,,,,,
  12:56:55 PM,89,,,,,,,,,
  12:57:10 PM,90,,,,,,,,,
  12:57:20 PM,91,,,,,,,,,
  12:57:25 PM,92,,,,,,,,,
  12:57:30 PM,95,,,,,,,,,
  12:57:40 PM,96,,,,,,,,,
  12:57:55 PM,96,,,,,,,,,
  12:58:10 PM,97,,,,,,,,,
  12:58:20 PM,96,,,,,,,,,
  12:58:35 PM,96,,,,,,,,,
  12:58:40 PM,97,,,,,,,,,
  12:58:50 PM,98,,,,,,,,,
  12:59:00 PM,97,,,,,,,,,
  12:59:05 PM,98,,,,,,,,,
  12:59:20 PM,91,,,,,,,,,
  12:59:35 PM,91,,,,,,,,,
  12:59:40 PM,88,,,,,,,,,
  12:59:45 PM,91,,,,,,,,,
  12:59:55 PM,90,,,,,,,,,
  1:00:00 PM,89,,,,,,,,,
  1:00:10 PM,88,,,,,,,,,
  1:00:25 PM,88,,,,,,,,,
  1:00:40 PM,84,,,,,,,,,
  1:00:50 PM,85,,,,,,,,,
  1:01:05 PM,85,,,,,,,,,
  1:01:10 PM,84,,,,,,,,,
  1:01:20 PM,83,,,,,,,,,
  1:01:30 PM,84,,,,,,,,,
  1:01:40 PM,88,,,,,,,,,
  1:01:50 PM,85,,,,,,,,,
  1:02:00 PM,84,,,,,,,,,
  1:02:10 PM,86,,,,,,,,,
  1:02:20 PM,90,,,,,,,,,
  1:02:30 PM,88,,,,,,,,,
  1:02:40 PM,89,,,,,,,,,
  1:02:45 PM,88,,,,,,,,,
  1:02:50 PM,87,,,,,,,,,
  1:03:05 PM,87,,,,,,,,,
  1:03:10 PM,87,,,,,,,,,
  1:03:20 PM,88,,,,,,,,,
  1:03:30 PM,85,,,,,,,,,
  1:03:40 PM,81,,,,,,,,,
  1:03:50 PM,79,,,,,,,,,
  1:03:55 PM,79,,,,,,,,,
  1:04:00 PM,80,,,,,,,,,
  1:04:15 PM,80,,,,,,,,,
  1:04:20 PM,80,,,,,,,,,
  1:04:35 PM,80,,,,,,,,,
  1:04:50 PM,81,,,,,,,,,
  1:04:55 PM,83,,,,,,,,,
  1:05:00 PM,82,,,,,,,,,
  1:05:10 PM,81,,,,,,,,,
  1:05:15 PM,80,,,,,,,,,
  1:05:30 PM,83,,,,,,,,,
  1:05:40 PM,86,,,,,,,,,
  1:05:50 PM,86,,,,,,,,,
  1:06:05 PM,86,,,,,,,,,
  1:06:10 PM,85,,,,,,,,,
  1:06:20 PM,82,,,,,,,,,
  1:06:30 PM,82,,,,,,,,,
  1:06:40 PM,82,,,,,,,,,
  1:06:50 PM,81,,,,,,,,,
  1:07:00 PM,81,,,,,,,,,
  1:07:10 PM,82,,,,,,,,,
  1:07:25 PM,82,,,,,,,,,
  1:07:30 PM,82,,,,,,,,,
  1:07:45 PM,82,,,,,,,,,
  1:08:00 PM,82,,,,,,,,,
  1:08:15 PM,82,,,,,,,,,
  1:08:30 PM,82,,,,,,,,,
  1:08:40 PM,82,,,,,,,,,
  1:08:55 PM,82,,,,,,,,,
  1:09:00 PM,81,,,,,,,,,
  1:09:10 PM,78,,,,,,,,,
  1:09:20 PM,79,,,,,,,,,
  1:09:25 PM,78,,,,,,,,,
  1:09:30 PM,78,,,,,,,,,
  1:09:45 PM,78,,,,,,,,,
  1:10:00 PM,78,,,,,,,,,
  1:10:15 PM,78,,,,,,,,,
  1:10:30 PM,78,,,,,,,,,
  1:10:45 PM,78,,,,,,,,,
  1:10:50 PM,79,,,,,,,,,
  1:11:00 PM,83,,,,,,,,,
  1:11:05 PM,87,,,,,,,,,
  1:11:10 PM,86,,,,,,,,,
  1:11:20 PM,87,,,,,,,,,
  1:11:25 PM,86,,,,,,,,,
  1:11:40 PM,86,,,,,,,,,
  1:11:50 PM,86,,,,,,,,,
  1:12:00 PM,85,,,,,,,,,
  1:12:05 PM,84,,,,,,,,,
  1:12:20 PM,85,,,,,,,,,
  1:12:30 PM,87,,,,,,,,,
  1:12:40 PM,90,,,,,,,,,
  1:12:50 PM,89,,,,,,,,,
  1:12:55 PM,88,,,,,,,,,
  1:13:10 PM,88,,,,,,,,,
  1:13:15 PM,89,,,,,,,,,
  1:13:30 PM,89,,,,,,,,,
  1:13:35 PM,89,,,,,,,,,
  1:13:40 PM,89,,,,,,,,,
  1:13:45 PM,91,,,,,,,,,
  1:14:00 PM,90,,,,,,,,,
  1:14:05 PM,89,,,,,,,,,
  1:14:15 PM,88,,,,,,,,,
  1:14:30 PM,88,,,,,,,,,
  1:14:45 PM,88,,,,,,,,,
  1:14:50 PM,89,,,,,,,,,
  1:15:00 PM,87,,,,,,,,,
  1:15:10 PM,88,,,,,,,,,
  1:15:15 PM,87,,,,,,,,,
  1:15:30 PM,89,,,,,,,,,
  1:15:40 PM,85,,,,,,,,,
  1:15:55 PM,85,,,,,,,,,
  1:16:00 PM,85,,,,,,,,,
  1:16:10 PM,90,,,,,,,,,
  1:16:20 PM,85,,,,,,,,,
  1:16:35 PM,85,,,,,,,,,
  1:16:40 PM,86,,,,,,,,,
  1:16:50 PM,87,,,,,,,,,
  1:17:05 PM,87,,,,,,,,,
  1:17:10 PM,86,,,,,,,,,
  1:17:20 PM,91,,,,,,,,,
  1:17:30 PM,90,,,,,,,,,
  1:17:40 PM,85,,,,,,,,,
  1:17:55 PM,85,,,,,,,,,
  1:18:00 PM,85,,,,,,,,,
  1:18:10 PM,84,,,,,,,,,
  1:18:25 PM,84,,,,,,,,,
  1:18:30 PM,84,,,,,,,,,
  1:18:40 PM,84,,,,,,,,,
  1:18:45 PM,84,,,,,,,,,
  1:19:00 PM,85,,,,,,,,,
  1:19:10 PM,84,,,,,,,,,
  1:19:25 PM,83,,,,,,,,,
  1:19:40 PM,84,,,,,,,,,
  1:19:50 PM,85,,,,,,,,,
  1:20:00 PM,86,,,,,,,,,
  1:20:10 PM,85,,,,,,,,,
  1:20:15 PM,85,,,,,,,,,
  1:20:25 PM,84,,,,,,,,,
  1:20:40 PM,84,,,,,,,,,
  1:20:50 PM,84,,,,,,,,,
  1:21:05 PM,84,,,,,,,,,
  1:21:10 PM,82,,,,,,,,,
  1:21:20 PM,83,,,,,,,,,
  1:21:30 PM,81,,,,,,,,,
  1:21:45 PM,81,,,,,,,,,
  1:21:50 PM,80,,,,,,,,,
  1:21:55 PM,83,,,,,,,,,
  1:22:05 PM,82,,,,,,,,,
  1:22:15 PM,81,,,,,,,,,
  1:22:30 PM,81,,,,,,,,,
  1:22:35 PM,81,,,,,,,,,
  1:22:45 PM,80,,,,,,,,,
  1:23:00 PM,80,,,,,,,,,
  1:23:15 PM,80,,,,,,,,,
  1:23:25 PM,82,,,,,,,,,
  1:23:40 PM,79,,,,,,,,,
  1:23:50 PM,82,,,,,,,,,
  1:24:00 PM,83,,,,,,,,,
  1:24:15 PM,83,,,,,,,,,
  1:24:30 PM,83,,,,,,,,,
  1:24:40 PM,90,,,,,,,,,
  1:24:45 PM,89,,,,,,,,,
  1:24:55 PM,88,,,,,,,,,
  1:25:00 PM,87,,,,,,,,,
  1:25:10 PM,90,,,,,,,,,
  1:25:20 PM,88,,,,,,,,,
  1:25:25 PM,87,,,,,,,,,
  1:25:40 PM,87,,,,,,,,,
  1:25:55 PM,87,,,,,,,,,
  1:26:00 PM,87,,,,,,,,,
  1:26:05 PM,87,,,,,,,,,
  1:26:20 PM,86,,,,,,,,,
  1:26:30 PM,87,,,,,,,,,
  1:26:35 PM,86,,,,,,,,,
  1:26:50 PM,84,,,,,,,,,
  1:27:00 PM,84,,,,,,,,,
  1:27:10 PM,83,,,,,,,,,
  1:27:15 PM,83,,,,,,,,,
  1:27:30 PM,83,,,,,,,,,
  1:27:45 PM,83,,,,,,,,,
  1:27:50 PM,79,,,,,,,,,
  1:28:00 PM,79,,,,,,,,,
  1:28:10 PM,84,,,,,,,,,
  1:28:25 PM,83,,,,,,,,,
  1:28:40 PM,82,,,,,,,,,
  1:28:55 PM,82,,,,,,,,,
  1:29:00 PM,83,,,,,,,,,
  1:29:10 PM,83,,,,,,,,,
  1:29:25 PM,83,,,,,,,,,
  1:29:40 PM,82,,,,,,,,,
  1:29:45 PM,81,,,,,,,,,
  1:29:50 PM,80,,,,,,,,,
  1:30:05 PM,79,,,,,,,,,
  1:30:20 PM,79,,,,,,,,,
  1:30:30 PM,80,,,,,,,,,
  1:30:45 PM,80,,,,,,,,,
  1:31:00 PM,81,,,,,,,,,
  1:31:10 PM,81,,,,,,,,,
  1:31:25 PM,81,,,,,,,,,
  1:31:30 PM,80,,,,,,,,,
  1:31:45 PM,80,,,,,,,,,
  1:31:50 PM,78,,,,,,,,,
  1:32:00 PM,79,,,,,,,,,
  1:32:10 PM,83,,,,,,,,,
  1:32:20 PM,83,,,,,,,,,
  1:32:25 PM,82,,,,,,,,,
  1:32:35 PM,83,,,,,,,,,
  1:32:45 PM,82,,,,,,,,,
  1:32:50 PM,82,,,,,,,,,
  1:33:05 PM,82,,,,,,,,,
  1:33:10 PM,86,,,,,,,,,
  1:33:20 PM,85,,,,,,,,,
  1:33:30 PM,83,,,,,,,,,
  1:33:40 PM,82,,,,,,,,,
  1:33:55 PM,82,,,,,,,,,
  1:34:10 PM,84,,,,,,,,,
  1:34:20 PM,84,,,,,,,,,
  1:34:35 PM,84,,,,,,,,,
  1:34:50 PM,83,,,,,,,,,
  1:35:00 PM,82,,,,,,,,,
  1:35:05 PM,82,,,,,,,,,
  1:35:20 PM,82,,,,,,,,,
  1:35:30 PM,85,,,,,,,,,
  1:35:45 PM,85,,,,,,,,,
  1:35:50 PM,82,,,,,,,,,
  1:36:00 PM,87,,,,,,,,,
  1:36:05 PM,88,,,,,,,,,
  1:36:10 PM,87,,,,,,,,,
  1:36:20 PM,86,,,,,,,,,
  1:36:30 PM,83,,,,,,,,,
  1:36:35 PM,82,,,,,,,,,
  1:36:40 PM,83,,,,,,,,,
  1:36:50 PM,82,,,,,,,,,
  1:36:55 PM,84,,,,,,,,,
  1:37:00 PM,84,,,,,,,,,
  1:37:15 PM,84,,,,,,,,,
  1:37:20 PM,82,,,,,,,,,
  1:37:25 PM,81,,,,,,,,,
  1:37:30 PM,78,,,,,,,,,
  1:37:40 PM,76,,,,,,,,,
  1:37:50 PM,78,,,,,,,,,
  1:38:00 PM,77,,,,,,,,,
  1:38:10 PM,75,,,,,,,,,
  1:38:20 PM,76,,,,,,,,,
  1:38:30 PM,87,,,,,,,,,
  1:38:45 PM,87,,,,,,,,,
  1:39:00 PM,87,,,,,,,,,
  1:39:10 PM,91,,,,,,,,,
  1:39:15 PM,90,,,,,,,,,
  1:39:30 PM,89,,,,,,,,,
  1:39:40 PM,89,,,,,,,,,
  1:39:55 PM,89,,,,,,,,,
  1:40:00 PM,83,,,,,,,,,
  1:40:10 PM,83,,,,,,,,,
  1:40:20 PM,84,,,,,,,,,
  1:40:35 PM,83,,,,,,,,,
  1:40:45 PM,83,,,,,,,,,
  1:40:50 PM,83,,,,,,,,,
  1:41:05 PM,83,,,,,,,,,
  1:41:20 PM,83,,,,,,,,,
  1:41:30 PM,84,,,,,,,,,
  1:41:40 PM,82,,,,,,,,,
  1:41:50 PM,80,,,,,,,,,
  1:41:55 PM,77,,,,,,,,,
  1:42:00 PM,75,,,,,,,,,
  1:42:15 PM,75,,,,,,,,,
  1:42:25 PM,74,,,,,,,,,
  1:42:30 PM,76,,,,,,,,,
  1:42:35 PM,79,,,,,,,,,
  1:42:50 PM,82,,,,,,,,,
  1:43:00 PM,83,,,,,,,,,
  1:43:10 PM,82,,,,,,,,,
  1:43:25 PM,81,,,,,,,,,
  1:43:40 PM,79,,,,,,,,,
  1:43:50 PM,85,,,,,,,,,
  1:44:00 PM,82,,,,,,,,,
  1:44:10 PM,81,,,,,,,,,
  1:44:20 PM,85,,,,,,,,,
  1:44:25 PM,85,,,,,,,,,
  1:44:35 PM,84,,,,,,,,,
  1:44:50 PM,82,,,,,,,,,
  1:44:55 PM,81,,,,,,,,,
  1:45:00 PM,83,,,,,,,,,
  1:45:10 PM,82,,,,,,,,,
  1:45:20 PM,82,,,,,,,,,
  1:45:30 PM,82,,,,,,,,,
  1:45:40 PM,83,,,,,,,,,
  1:45:55 PM,83,,,,,,,,,
  1:46:00 PM,85,,,,,,,,,
  1:46:10 PM,81,,,,,,,,,
  1:46:25 PM,80,,,,,,,,,
  1:46:30 PM,81,,,,,,,,,
  1:46:40 PM,77,,,,,,,,,
  1:46:50 PM,82,,,,,,,,,
  1:47:05 PM,82,,,,,,,,,
  1:47:15 PM,81,,,,,,,,,
  1:47:30 PM,79,,,,,,,,,
  1:47:40 PM,86,,,,,,,,,
  1:47:55 PM,86,,,,,,,,,
  1:48:00 PM,80,,,,,,,,,
  1:48:05 PM,79,,,,,,,,,
  1:48:10 PM,78,,,,,,,,,
  1:48:20 PM,77,,,,,,,,,
  1:48:30 PM,76,,,,,,,,,
  1:48:45 PM,76,,,,,,,,,
  1:48:50 PM,77,,,,,,,,,
  1:49:00 PM,78,,,,,,,,,
  1:49:15 PM,80,,,,,,,,,
  1:49:20 PM,80,,,,,,,,,
  1:49:30 PM,79,,,,,,,,,
  1:49:40 PM,80,,,,,,,,,
  1:49:45 PM,80,,,,,,,,,
  1:49:50 PM,79,,,,,,,,,
  1:50:05 PM,78,,,,,,,,,
  1:50:10 PM,79,,,,,,,,,
  1:50:25 PM,79,,,,,,,,,
  1:50:40 PM,80,,,,,,,,,
  1:50:50 PM,84,,,,,,,,,
  1:51:00 PM,85,,,,,,,,,
  1:51:10 PM,96,,,,,,,,,
  1:51:20 PM,95,,,,,,,,,
  1:51:25 PM,94,,,,,,,,,
  1:51:30 PM,93,,,,,,,,,
  1:51:40 PM,88,,,,,,,,,
  1:51:50 PM,83,,,,,,,,,
  1:51:55 PM,80,,,,,,,,,
  1:52:00 PM,79,,,,,,,,,
  1:52:05 PM,79,,,,,,,,,
  1:52:20 PM,79,,,,,,,,,
  1:52:30 PM,80,,,,,,,,,
  1:52:45 PM,80,,,,,,,,,
  1:53:00 PM,80,,,,,,,,,
  1:53:10 PM,80,,,,,,,,,
  1:53:20 PM,78,,,,,,,,,
  1:53:25 PM,78,,,,,,,,,
  1:53:40 PM,81,,,,,,,,,
  1:53:45 PM,83,,,,,,,,,
  1:53:50 PM,83,,,,,,,,,
  1:54:05 PM,83,,,,,,,,,
  1:54:10 PM,82,,,,,,,,,
  1:54:20 PM,84,,,,,,,,,
  1:54:35 PM,84,,,,,,,,,
  1:54:50 PM,84,,,,,,,,,
  1:55:00 PM,89,,,,,,,,,
  1:55:10 PM,92,,,,,,,,,
  1:55:25 PM,92,,,,,,,,,
  1:55:30 PM,92,,,,,,,,,
  1:55:40 PM,94,,,,,,,,,
  1:55:50 PM,95,,,,,,,,,
  1:55:55 PM,94,,,,,,,,,
  1:56:10 PM,94,,,,,,,,,
  1:56:20 PM,87,,,,,,,,,
  1:56:25 PM,87,,,,,,,,,
  1:56:40 PM,87,,,,,,,,,
  1:56:50 PM,85,,,,,,,,,
  1:57:00 PM,86,,,,,,,,,
  1:57:05 PM,85,,,,,,,,,
  1:57:20 PM,85,,,,,,,,,
  1:57:30 PM,79,,,,,,,,,
  1:57:35 PM,78,,,,,,,,,
  1:57:50 PM,79,,,,,,,,,
  1:57:55 PM,79,,,,,,,,,
  1:58:10 PM,79,,,,,,,,,
  1:58:25 PM,79,,,,,,,,,
  1:58:30 PM,79,,,,,,,,,
  1:58:45 PM,80,,,,,,,,,
  1:59:00 PM,80,,,,,,,,,
  1:59:15 PM,80,,,,,,,,,
  1:59:30 PM,80,,,,,,,,,
  1:59:45 PM,80,,,,,,,,,
  2:00:00 PM,80,,,,,,,,,
  2:00:15 PM,80,,,,,,,,,
  2:00:30 PM,80,,,,,,,,,
  2:00:45 PM,80,,,,,,,,,
  2:01:00 PM,80,,,,,,,,,
  2:01:10 PM,80,,,,,,,,,
  2:01:15 PM,81,,,,,,,,,
  2:01:30 PM,81,,,,,,,,,
  2:01:45 PM,79,,,,,,,,,
  2:01:50 PM,80,,,,,,,,,
  2:01:55 PM,77,,,,,,,,,
  2:02:00 PM,75,,,,,,,,,
  2:02:05 PM,75,,,,,,,,,
  2:02:20 PM,74,,,,,,,,,
  2:02:35 PM,74,,,,,,,,,
  2:02:40 PM,81,,,,,,,,,
  2:02:50 PM,82,,,,,,,,,
  2:03:00 PM,83,,,,,,,,,
  2:03:05 PM,82,,,,,,,,,
  2:03:10 PM,83,,,,,,,,,
  2:03:20 PM,82,,,,,,,,,
  2:03:25 PM,82,,,,,,,,,
  2:03:40 PM,82,,,,,,,,,
  2:03:50 PM,85,,,,,,,,,
  2:04:00 PM,85,,,,,,,,,
  2:04:10 PM,84,,,,,,,,,
  2:04:15 PM,83,,,,,,,,,
  2:04:20 PM,81,,,,,,,,,
  2:04:30 PM,80,,,,,,,,,
  2:04:45 PM,80,,,,,,,,,
  2:05:00 PM,78,,,,,,,,,
  2:05:15 PM,78,,,,,,,,,
  2:05:30 PM,78,,,,,,,,,
  2:05:45 PM,78,,,,,,,,,
  2:05:50 PM,80,,,,,,,,,
  2:06:00 PM,82,,,,,,,,,
  2:06:10 PM,82,,,,,,,,,
  2:06:20 PM,81,,,,,,,,,
  2:06:30 PM,77,,,,,,,,,
  2:06:40 PM,78,,,,,,,,,
  2:06:45 PM,82,,,,,,,,,
  2:07:00 PM,82,,,,,,,,,
  2:07:15 PM,82,,,,,,,,,
  2:07:30 PM,82,,,,,,,,,
  2:07:45 PM,82,,,,,,,,,
  2:08:00 PM,82,,,,,,,,,
  2:08:15 PM,82,,,,,,,,,
  2:08:20 PM,82,,,,,,,,,
  2:08:30 PM,81,,,,,,,,,
  2:08:40 PM,81,,,,,,,,,
  2:08:45 PM,81,,,,,,,,,
  2:08:55 PM,80,,,,,,,,,
  2:09:10 PM,80,,,,,,,,,
  2:09:20 PM,80,,,,,,,,,
  2:09:30 PM,79,,,,,,,,,
  2:09:35 PM,80,,,,,,,,,
  2:09:45 PM,81,,,,,,,,,
  2:09:50 PM,75,,,,,,,,,
  2:09:55 PM,75,,,,,,,,,
  2:10:10 PM,75,,,,,,,,,
  2:10:15 PM,74,,,,,,,,,
  2:10:25 PM,75,,,,,,,,,
  2:10:30 PM,76,,,,,,,,,
  2:10:35 PM,77,,,,,,,,,
  2:10:50 PM,77,,,,,,,,,
  2:11:00 PM,78,,,,,,,,,
  2:11:10 PM,80,,,,,,,,,
  2:11:20 PM,85,,,,,,,,,
  2:11:30 PM,84,,,,,,,,,
  2:11:35 PM,83,,,,,,,,,
  2:11:40 PM,81,,,,,,,,,
  2:11:50 PM,77,,,,,,,,,
  2:11:55 PM,77,,,,,,,,,
  2:12:10 PM,76,,,,,,,,,
  2:12:20 PM,76,,,,,,,,,
  2:12:30 PM,84,,,,,,,,,
  2:12:40 PM,84,,,,,,,,,
  2:12:50 PM,83,,,,,,,,,
  2:13:00 PM,83,,,,,,,,,
  2:13:15 PM,83,,,,,,,,,
  2:13:30 PM,83,,,,,,,,,
  2:13:40 PM,79,,,,,,,,,
  2:13:45 PM,77,,,,,,,,,
  2:13:50 PM,76,,,,,,,,,
  2:13:55 PM,76,,,,,,,,,
  2:14:10 PM,76,,,,,,,,,
  2:14:25 PM,76,,,,,,,,,
  2:14:30 PM,74,,,,,,,,,
  2:14:45 PM,73,,,,,,,,,
  2:14:50 PM,72,,,,,,,,,
  2:15:00 PM,73,,,,,,,,,
  2:15:15 PM,73,,,,,,,,,
  2:15:30 PM,75,,,,,,,,,
  2:15:45 PM,75,,,,,,,,,
  2:16:00 PM,75,,,,,,,,,
  2:16:15 PM,75,,,,,,,,,
  2:16:30 PM,75,,,,,,,,,
  2:16:40 PM,77,,,,,,,,,
  2:16:50 PM,78,,,,,,,,,
  2:17:00 PM,78,,,,,,,,,
  2:17:10 PM,76,,,,,,,,,
  2:17:20 PM,77,,,,,,,,,
  2:17:25 PM,79,,,,,,,,,
  2:17:40 PM,79,,,,,,,,,
  2:17:45 PM,80,,,,,,,,,
  2:17:50 PM,80,,,,,,,,,
  2:18:05 PM,80,,,,,,,,,
  2:18:20 PM,80,,,,,,,,,
  2:18:35 PM,80,,,,,,,,,
  2:18:40 PM,79,,,,,,,,,
  2:18:50 PM,77,,,,,,,,,
  2:19:00 PM,79,,,,,,,,,
  2:19:15 PM,79,,,,,,,,,
  2:19:30 PM,77,,,,,,,,,
  2:19:45 PM,77,,,,,,,,,
  2:19:50 PM,77,,,,,,,,,
  2:19:55 PM,79,,,,,,,,,
  2:20:00 PM,79,,,,,,,,,
  2:20:10 PM,80,,,,,,,,,
  2:20:25 PM,79,,,,,,,,,
  2:20:40 PM,80,,,,,,,,,
  2:20:50 PM,80,,,,,,,,,
  2:21:05 PM,80,,,,,,,,,
  2:21:10 PM,81,,,,,,,,,
  2:21:20 PM,80,,,,,,,,,
  2:21:30 PM,81,,,,,,,,,
  2:21:40 PM,80,,,,,,,,,
  2:21:50 PM,79,,,,,,,,,
  2:22:05 PM,79,,,,,,,,,
  2:22:10 PM,79,,,,,,,,,
  2:22:25 PM,80,,,,,,,,,
  2:22:40 PM,80,,,,,,,,,
  2:22:55 PM,80,,,,,,,,,
  2:23:10 PM,80,,,,,,,,,
  2:23:20 PM,81,,,,,,,,,
  2:23:30 PM,81,,,,,,,,,
  2:23:35 PM,82,,,,,,,,,
  2:23:45 PM,83,,,,,,,,,
  2:24:00 PM,83,,,,,,,,,
  2:24:10 PM,84,,,,,,,,,
  2:24:15 PM,87,,,,,,,,,
  2:24:25 PM,86,,,,,,,,,
  2:24:35 PM,84,,,,,,,,,
  2:24:50 PM,84,,,,,,,,,
  2:25:05 PM,84,,,,,,,,,
  2:25:20 PM,84,,,,,,,,,
  2:25:30 PM,84,,,,,,,,,
  2:25:40 PM,86,,,,,,,,,
  2:25:55 PM,86,,,,,,,,,
  2:26:10 PM,87,,,,,,,,,
  2:26:20 PM,85,,,,,,,,,
  2:26:30 PM,84,,,,,,,,,
  2:26:45 PM,84,,,,,,,,,
  2:26:50 PM,83,,,,,,,,,
  2:27:05 PM,83,,,,,,,,,
  2:27:20 PM,84,,,,,,,,,
  2:27:30 PM,83,,,,,,,,,
  2:27:40 PM,83,,,,,,,,,
  2:27:45 PM,82,,,,,,,,,
  2:27:50 PM,82,,,,,,,,,
  2:28:05 PM,82,,,,,,,,,
  2:28:20 PM,81,,,,,,,,,
  2:28:30 PM,78,,,,,,,,,
  2:28:40 PM,76,,,,,,,,,
  2:28:50 PM,74,,,,,,,,,
  2:29:00 PM,73,,,,,,,,,
  2:29:05 PM,74,,,,,,,,,
  2:29:15 PM,74,,,,,,,,,
  2:29:30 PM,74,,,,,,,,,
  2:29:40 PM,74,,,,,,,,,
  2:29:45 PM,76,,,,,,,,,
  2:29:50 PM,75,,,,,,,,,
  2:30:00 PM,77,,,,,,,,,
  2:30:10 PM,77,,,,,,,,,
  2:30:20 PM,80,,,,,,,,,
  2:30:35 PM,80,,,,,,,,,
  2:30:50 PM,80,,,,,,,,,
  2:31:05 PM,81,,,,,,,,,
  2:31:10 PM,80,,,,,,,,,
  2:31:20 PM,80,,,,,,,,,
  2:31:30 PM,76,,,,,,,,,
  2:31:35 PM,74,,,,,,,,,
  2:31:40 PM,74,,,,,,,,,
  2:31:50 PM,77,,,,,,,,,
  2:32:00 PM,75,,,,,,,,,
  2:32:10 PM,76,,,,,,,,,
  2:32:25 PM,76,,,,,,,,,
  2:32:40 PM,77,,,,,,,,,
  2:32:45 PM,77,,,,,,,,,
  2:33:00 PM,77,,,,,,,,,
  2:33:15 PM,77,,,,,,,,,
  2:33:20 PM,77,,,,,,,,,
  2:33:35 PM,77,,,,,,,,,
  2:33:40 PM,78,,,,,,,,,
  2:33:50 PM,80,,,,,,,,,
  2:33:55 PM,79,,,,,,,,,
  2:34:10 PM,83,,,,,,,,,
  2:34:20 PM,84,,,,,,,,,
  2:34:35 PM,84,,,,,,,,,
  2:34:50 PM,85,,,,,,,,,
  2:35:05 PM,85,,,,,,,,,
  2:35:20 PM,86,,,,,,,,,
  2:35:35 PM,86,,,,,,,,,
  2:35:40 PM,88,,,,,,,,,
  2:35:45 PM,89,,,,,,,,,
