LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,LIGHT (lux),PROXIMITY (m),SOUND LEVEL (dB),YYYY-MO-DD HH-MI-SS_SSS
-0.0481,0.001,-0.0311,42.4151,2,39.599,14:57:06:939
-0.0044,-0.0183,-0.007,42.1568,2,37.645,14:57:07:941
0.0082,-0.014,0.0195,41.8281,2,32.875,14:57:08:939
0.0448,0.0178,-0.0636,42.5831,2,36.994,14:57:09:947
-0.0014,0.0317,0.004,42.573,2,38.517,14:57:10:938
0.0388,0.0054,-0.0033,41.8397,2,40.37,14:57:11:938
0.0026,0.0074,0.0187,43,2,40.833,14:57:12:939
-0.0166,0.0075,-0.0043,41.5769,2,40.14,14:57:13:938
-0.0298,-0.022,0.0117,41.8349,2,40.848,14:57:14:938
0.0156,-0.0258,-0.0109,42.5776,2,41.417,14:57:15:939
0.0174,-0.0086,0.0499,42.4193,2,39.96,14:57:16:938
-4.00E-04,-0.0052,0.0482,43,2,40.657,14:57:17:938
-0.0065,-0.0179,0.0076,42.5764,2,41.863,14:57:18:939
0.0212,-0.0024,-0.1649,42.1602,2,50.791,14:57:19:939
0.014,-0.019,0.0286,41.8536,2,45.428,14:57:20:939
-0.0087,-0.0212,0.0531,41.8478,2,41.142,14:57:21:940
0.0343,4.00E-04,-0.03,42.5852,2,42.443,14:57:22:938
0.0019,0.0122,0.0614,42.5852,2,42.524,14:57:23:938
-0.0449,0.0021,-0.0363,42.1544,2,41.278,14:57:24:938
-0.0267,-0.0021,-0.0201,43,2,42.705,14:57:25:938
-0.003,-0.0045,-0.0049,42.1606,2,42.102,14:57:26:940
0.0077,0.0021,-0.0799,42.5935,2,43.749,14:57:27:938
0.0311,0.045,-0.0296,42.4125,2,38.105,14:57:28:938
-0.036,-0.0167,0.0155,42.1865,2,34.716,14:57:29:938
-0.009,0.0376,0.0113,41.8438,2,44.453,14:57:30:941
-0.0319,0.0269,-0.0583,43,2,41.714,14:57:31:939
0.0152,0.0032,-0.0401,42.1719,2,45.677,14:57:32:941
-2.00E-04,-0.0267,0.0589,42.5832,2,38.06,14:57:33:939
0.0371,0.0224,-0.0312,42,2,42.125,14:57:34:939
-0.0131,0.0139,5.00E-04,42.4235,2,43.459,14:57:35:938
-0.0228,-0.0062,-0.0038,43,2,45.34,14:57:36:939
0.0191,0.024,-0.0307,42.4256,2,46.187,14:57:37:938
0.0045,0.0063,0.0258,41.8283,2,45.218,14:57:38:939
0.0106,0.0131,-0.0064,42.5816,2,50.137,14:57:39:939
0.0204,-0.0057,-0.0015,42.4186,2,49.894,14:57:40:938
0.0182,-0.063,0.0463,42,2,48.561,14:57:41:938
0.0516,0.0138,-0.0243,41.8426,2,46.009,14:57:42:938
0.0171,-0.0134,-0.0542,42,2,50.421,14:57:43:939
0.0122,0.0079,0.0096,41.8315,2,49.869,14:57:44:939
0.0113,0.0043,0.0413,42.1455,2,49.062,14:57:45:938
0.0137,0.0273,-0.0792,42.1665,2,37.071,14:57:46:941
-0.0262,0.0382,0.0092,42.4221,2,44.517,14:57:47:939
0.0122,-0.006,0.0303,42.5938,2,47.298,14:57:48:939
-0.0127,0.0087,-0.0198,43,2,48.59,14:57:49:938
-0.0068,-0.0074,0.015,42.1664,2,42.108,14:57:50:939
-0.0031,-0.0483,-0.0204,41.8211,2,48.666,14:57:51:939
-0.0018,-0.0179,0.0714,42.5767,2,48.647,14:57:52:938
-0.0034,0.0336,0.0755,42.4228,2,44.551,14:57:53:941
0.027,-0.0129,-0.0421,42.1614,2,42.524,14:57:54:938
-0.0333,0.0142,-0.0267,42.5816,2,47.089,14:57:55:939
0.004,3.00E-04,-0.0949,42.1568,2,43.681,14:57:56:938
-0.0014,-0.0132,0.0535,42.4249,2,43.454,14:57:57:938
-0.0213,0.0017,0.0079,42.4074,2,39.712,14:57:58:938
-0.0026,-7.00E-04,-0.0471,42.4233,2,44.885,14:57:59:939
-0.0129,-0.021,-0.006,42.4099,2,41.596,14:58:00:939
-0.0136,0.0146,0.0036,42.5887,2,46.202,14:58:01:939
0.0223,0.0253,-0.0232,41.8409,2,45.105,14:58:02:939
0.0076,0.0227,0.0037,42.1824,2,47.127,14:58:03:939
0.0053,-0.0554,0.023,42.4119,2,47.76,14:58:04:938
-0.0235,0.0329,0.0129,43,2,48.694,14:58:05:939
-0.0217,0.0345,0.0729,42,2,47.557,14:58:06:939
-0.0019,0.0217,-0.0161,42.4161,2,48.394,14:58:07:940
-0.0193,-0.0103,-0.0279,42.5819,2,47.633,14:58:08:938
0.0109,0.0157,0.0058,41.7777,2,51.378,14:58:09:938
0.0012,0.0154,0.0642,42,2,46.603,14:58:10:939
-0.0336,0.0252,0.0808,42.5789,2,41.776,14:58:11:938
0.0134,-0.0083,0.048,42,2,47.942,14:58:12:939
-0.0182,0.0022,-0.0108,43,2,47.773,14:58:13:938
-0.0087,0.014,-0.0043,42.5885,2,49.892,14:58:14:939
-0.0054,0.0131,0.0068,42.5847,2,42.602,14:58:15:939
-0.0179,-0.0304,-0.0172,42.171,2,49.074,14:58:16:940
-0.0044,0.0073,0.0701,42.1757,2,47.842,14:58:17:939
0.0171,-0.026,0.0115,42.1676,2,51.494,14:58:18:942
0.0098,-0.0096,0.0186,41.3979,2,42.559,14:58:19:939
-0.0165,-0.0136,0.0449,41.3979,2,47.132,14:58:20:938
0.007,0.0453,0.001,41.582,2,47.401,14:58:21:939
-0.0112,-0.0117,0.0553,41.8289,2,48.181,14:58:22:938
-0.0088,0.0063,0.0457,41.8374,2,49.207,14:58:23:938
0.0025,0.0297,-0.0329,42.5738,2,45.915,14:58:24:938
0.0071,0.0042,0.0194,42.5728,2,44.761,14:58:25:937
-0.0219,0.0031,0.0401,42.5728,2,49.412,14:58:26:938
-0.0099,-0.0096,-0.0517,42.4253,2,43.745,14:58:27:938
0.0208,0.0859,-0.0637,42.1674,2,49.825,14:58:28:939
0.003,-0.0149,-0.0115,42.1662,2,46.949,14:58:29:938
-0.014,-0.0201,0.0204,42.5775,2,48.814,14:58:30:939
-0.0306,-0.0364,-0.0128,42.5775,2,46.164,14:58:31:938
-7.00E-04,0.0181,0.016,42.4162,2,50.015,14:58:32:939
0.0015,0.0098,-0.0402,41.8518,2,45.83,14:58:33:938
0.0383,0.0112,-0.0172,41.8336,2,46.014,14:58:34:938
-0.016,-0.0212,0.0747,41.8013,2,41.443,14:58:35:938
-0.0027,6.00E-04,0.0232,41.8528,2,39.495,14:58:36:938
0.026,0.0077,0.0049,41.8366,2,37.194,14:58:37:938
-0.0042,0.0554,-0.0852,42.5792,2,40.282,14:58:38:939
0.0101,2.00E-04,0.0049,42.5863,2,40.849,14:58:39:939
-0.0105,-0.0039,-0.0411,42.1521,2,42.373,14:58:40:938
0.0336,-0.0309,0.0596,42.581,2,39.643,14:58:41:939
0.0044,0.0532,-0.0078,42.422,2,39.369,14:58:42:938
0.0277,-0.0021,-0.0421,42.4217,2,38.464,14:58:43:939
0.0297,-0.0172,0.0755,42.5875,2,35.473,14:58:44:938
0.023,0.0342,0.0213,42.5796,2,39.608,14:58:45:938
-0.0337,-0.0071,0.0211,42.5811,2,42.956,14:58:46:939
0.0068,0.0359,0.0087,42.5887,2,42.948,14:58:47:939
0.0127,0.0085,-0.0048,42.5756,2,38.746,14:58:48:938
0.0255,-0.0107,0.0051,42.5826,2,35.888,14:58:49:939
-0.0072,-0.0142,-0.012,41.8427,2,43.214,14:58:50:938
0.0324,-0.0077,-0.0447,41.8373,2,45.266,14:58:51:938
-0.0255,0.0287,-0.0028,41.8465,2,43.319,14:58:52:939
0.0045,-0.019,0.0316,42.1722,2,42.646,14:58:53:939
-0.0405,-0.0127,-0.0473,42.1502,2,48.875,14:58:54:939
0.0035,-0.0119,-0.0754,42.1604,2,47.48,14:58:55:938
8.00E-04,-0.0119,-0.0134,42.154,2,46.326,14:58:56:938
-7.00E-04,0.0054,0.0921,42.1745,2,45.847,14:58:57:938
-0.0143,-0.039,-0.0073,42.1712,2,44.637,14:58:58:939
0.0056,-0.0349,0.0449,42.1739,2,45.5,14:58:59:939
-0.0323,-0.0117,-0.0269,42.1661,2,45.717,14:59:00:939
0.0156,0.0069,0.0077,42.2097,2,37.226,14:59:01:939
0.0269,-0.0364,-0.0243,41.8302,2,43.896,14:59:02:939
-0.0438,0.0206,-0.0299,41.8297,2,45.328,14:59:03:939
-6.00E-04,-0.0429,0.011,42.4139,2,44.854,14:59:04:938
0.0197,0.0068,-0.0227,42.1682,2,40.32,14:59:05:941
-0.0177,-0.0201,0.0307,42.1596,2,46.09,14:59:06:939
0.0098,0.0162,0.0075,42.5831,2,46.22,14:59:07:940
0.0498,0.0174,0.0489,42.1674,2,44.938,14:59:08:939
-0.0413,-0.0051,-0.0087,42.1678,2,38.888,14:59:09:940
-0.0017,-0.0474,-0.0358,43,2,43.434,14:59:10:939
0.006,-8.00E-04,-0.0347,42.1677,2,40.488,14:59:11:939
0.003,0.0249,-0.0124,42.1546,2,41.647,14:59:12:939
0.0307,-0.0242,0.0299,42.5944,2,39.152,14:59:13:939
-0.0038,0.0052,-0.0429,42.4241,2,41.41,14:59:14:939
0.0163,0.02,0.015,42.4193,2,40.119,14:59:15:939
0.0121,-0.0048,0.0737,41.417,2,43.792,14:59:16:939
0.0143,0.0013,0.0078,41.417,2,42.481,14:59:17:939
0.0149,0.021,-0.0033,42.3899,2,45.451,14:59:18:938
-0.0111,0.0056,0.0022,42.4163,2,46.695,14:59:19:939
0.0085,0.0134,0.0536,42.5727,2,46.038,14:59:20:938
-0.0068,0.0399,-0.0146,42.5954,2,45.61,14:59:21:939
-0.0199,-0.0177,0.0897,42.418,2,46.268,14:59:22:938
-0.0083,0.0154,-0.0133,41.8104,2,47.579,14:59:23:938
-0.0138,-0.0338,-0.0067,41.8523,2,41.041,14:59:24:938
0.0137,0.007,0.0673,42.5848,2,33.417,14:59:25:938
-0.0077,-9.00E-04,-0.007,42.1705,2,31.779,14:59:26:938
-0.0084,-0.016,0.039,42.582,2,31.271,14:59:27:941
-0.0045,0.0145,0.0289,42.582,2,32.19,14:59:28:939
0.0123,0.0255,-0.026,42.582,2,32.615,14:59:29:941
-0.0375,0.0162,-0.0185,41.5822,2,33.082,14:59:30:939
0.0077,-0.0333,-0.0263,41.8266,2,33.295,14:59:31:938
0.0045,0.0172,-0.0129,42.4147,2,32.19,14:59:32:939
-0.0147,-0.0144,-0.0974,42.4157,2,34.699,14:59:33:938
0.0222,0.0187,-0.024,42.1659,2,33.789,14:59:34:939
-0.0237,0.0165,0.069,42.1467,2,32.787,14:59:35:938
0.0303,0.012,-0.0164,42.5774,2,33.076,14:59:36:939
-5.00E-04,-0.0042,-0.0205,41.8383,2,32.133,14:59:37:938
-0.0061,0.0398,0.0119,41.8411,2,32.523,14:59:38:938
-0.033,0.0124,0.002,42.4214,2,34.266,14:59:39:939
-0.0161,-0.0152,0.0375,42,2,32.358,14:59:40:938
0.0371,0.0327,-0.0042,42,2,34.482,14:59:41:938
-0.0015,-0.0522,-0.0277,42.2074,2,32.225,14:59:42:939
0.0278,-0.0238,0.0125,42.1566,2,34.157,14:59:43:939
-0.0209,0.0227,-0.0525,42.1665,2,34.073,14:59:44:939
0.0208,0.0039,-0.0683,42.4199,2,31.941,14:59:45:939
-0.0012,0.0117,-0.0322,42.4162,2,32.296,14:59:46:939
-0.011,0.0237,0.0525,41.4185,2,31.333,14:59:47:938
-0.0206,-0.0258,-0.0124,42.4205,2,31.681,14:59:48:938
0.0358,-0.0103,-0.0385,42.4186,2,30.538,14:59:49:939
0.0528,-0.0258,-0.0263,42.4106,2,32.555,14:59:50:944
-0.0241,0.0393,-0.0156,42.4174,2,31.834,14:59:51:940
-0.0072,-0.0199,-0.0403,42.4224,2,32.241,14:59:52:938
0.007,0.0055,-0.0123,42.1634,2,31.794,14:59:53:938
-0.0046,3.00E-04,-0.012,42.1769,2,32.471,14:59:54:938
0.0124,-0.0154,0.0523,42.1552,2,42.031,14:59:55:938
0.0236,0.0069,-0.0106,41.8361,2,39.4,14:59:56:939
0.0019,0.0133,0.0012,41.8318,2,41.965,14:59:57:939
0.0113,0.0261,0.0139,41.8343,2,38.164,14:59:58:939
0.0285,0.0401,0.0837,42.4124,2,41.84,14:59:59:945
-0.0097,7.00E-04,-0.0401,42.4166,2,40.794,15:00:00:939
0.0196,-2.00E-04,-0.0176,42.4166,2,43.029,15:00:01:939
-0.0101,-0.0327,-0.0365,42.5854,2,44.42,15:00:02:956
-0.0027,0.0163,0.0465,42.5849,2,40.797,15:00:03:939
0.0114,-0.01,-0.0012,42.5849,2,43.593,15:00:04:939
0.0031,0.0186,-0.009,42.4134,2,44.119,15:00:05:939
0.0149,-0.0354,-0.036,42.4131,2,42.309,15:00:06:939
-0.0311,-0.0195,0.0222,41.5888,2,47.547,15:00:07:939
0.0107,0.0209,0.0499,42.4083,2,42.829,15:00:08:939
0.0104,2.00E-04,-0.0451,42.4164,2,44.874,15:00:09:939
-0.0097,0.0306,0.041,42.4159,2,45.604,15:00:10:939
0.0195,-0.0453,0.0151,42.5877,2,41.749,15:00:11:939
-0.0051,-0.0112,0.0447,42.5827,2,42.44,15:00:12:939
0.027,-0.0258,0.0338,42.2,2,43.392,15:00:13:938
-0.0254,-0.0419,0.0114,42.1686,2,42.142,15:00:14:939
-0.0081,-0.0087,-0.1353,42.1669,2,41.966,15:00:15:938
-0.024,0.0253,-0.0707,42.4159,2,41.131,15:00:16:939
0.024,0.0029,0.047,42.4158,2,43.497,15:00:17:939
-0.0374,-0.0202,0.0758,42.3955,2,42.141,15:00:18:938
-0.0192,0.0271,-0.0946,42.4158,2,46.454,15:00:19:939
-0.053,0.0715,-0.1143,42.4263,2,38.18,15:00:20:938
-0.031,0.0082,0.0182,42.4215,2,37.275,15:00:21:939
-0.0035,-0.005,0.0367,42.177,2,42.145,15:00:22:942
-0.0033,0.0078,-0.0267,42.1472,2,38.83,15:00:23:939
-0.0012,-0.0031,-0.0138,42.1685,2,42.973,15:00:24:938
-0.0329,0.0174,0.0431,42.4106,2,38.381,15:00:25:959
0.0015,-0.0032,-0.0331,42.4154,2,43.759,15:00:26:941
0.0068,0.0318,0.0433,42,2,37.479,15:00:27:939
3.00E-04,0.0011,-0.0015,42,2,42.072,15:00:28:938
-0.0138,0.0255,-0.0309,42,2,39.604,15:00:29:938
0.0197,0.0022,-0.0162,42.4079,2,43.395,15:00:30:939
0.0212,-0.0233,-0.0165,42.404,2,41.547,15:00:31:938
0.0091,-0.0063,0.0015,42.4163,2,40.539,15:00:32:939
-0.0408,2.00E-04,-0.0062,42.1702,2,36.4,15:00:33:938
-0.0054,0.005,0.0148,42.1727,2,41.293,15:00:34:939
-0.0137,0.0214,0.008,42.1593,2,37.187,15:00:35:938
0.0079,0.0023,-0.0559,41.805,2,46.661,15:00:36:939
-0.0371,0.0365,0.031,41.8281,2,42.859,15:00:37:939
0.029,0.0324,-0.0363,41.8305,2,43.615,15:00:38:938
-0.0113,-0.019,-0.055,41.8371,2,40.331,15:00:39:938
-0.0381,-0.003,-0.0113,42.587,2,39.938,15:00:40:938
0.007,-0.0202,0.0417,42.1624,2,42.416,15:00:41:938
-0.0232,-0.0038,0.0025,42.581,2,42.487,15:00:42:939
-0.0089,-0.0491,-0.0985,42.5794,2,41.544,15:00:43:938
-0.0058,-0.0324,0.0351,42.5794,2,38.378,15:00:44:939
-0.0095,0.0129,0.0144,42.4172,2,45.039,15:00:45:938
0.0331,0.0061,4.00E-04,42,2,38.302,15:00:46:939
-1.00E-04,0.0017,3.00E-04,42.4153,2,37.143,15:00:47:939
0.0105,-0.0447,0.0174,42.5804,2,41.231,15:00:48:939
0.0132,0.0158,0.0238,42.586,2,38.501,15:00:49:941
-0.0291,0.0174,-0.0199,42.3956,2,38.778,15:00:50:938
-0.0153,-0.0155,0.0111,42.4147,2,46.669,15:00:51:940
0.0076,-0.0142,-0.0046,42.4155,2,38.571,15:00:52:938
9.00E-04,-0.0105,0.0312,42,2,32.233,15:00:53:939
-0.0485,-0.003,-0.0215,42.5852,2,37.34,15:00:54:938
-0.0014,0.0439,-0.0185,42.586,2,35.672,15:00:55:939
1.00E-04,0.0159,-1.00E-04,41.5805,2,43.013,15:00:56:939
-0.0059,0.0135,-0.0147,41.83,2,44.781,15:00:57:939
0.0279,0.012,0.0688,41.8178,2,42.393,15:00:58:938
0.0313,-0.0356,-0.004,42.4194,2,40.095,15:00:59:938
0.005,-0.0229,0.1165,42.1607,2,45.498,15:01:00:939
0.004,-0.013,-0.0549,42.1711,2,37.971,15:01:01:938
0.0223,-0.0149,0.0683,42.1689,2,38.624,15:01:02:939
-0.0069,0.0038,0.0105,41.8363,2,35.942,15:01:03:939
-0.0313,0.0134,-0.0152,41.795,2,38.811,15:01:04:938
0.0077,-0.0192,1.00E-04,42.4172,2,39.779,15:01:05:939
0.0124,-0.0103,-0.0559,42.584,2,41.64,15:01:06:938
8.00E-04,-0.0092,-0.0114,42.5865,2,40.209,15:01:07:939
-0.0204,-0.0211,-0.0108,43,2,39.611,15:01:08:939
0.0158,0.0052,-0.0537,42.5838,2,38.058,15:01:09:940
-8.00E-04,-0.0217,0.0392,42.5838,2,39.466,15:01:10:940
0.0371,4.00E-04,0.0129,41.833,2,38.853,15:01:11:938
0.0013,0.0077,-0.0234,42.415,2,41.915,15:01:12:939
0.0327,-0.0162,-0.0141,42.4154,2,37.464,15:01:13:939
-0.002,0.0224,0.0449,42.5805,2,42.724,15:01:14:939
0.0347,0.0238,-0.0106,42.1681,2,39.587,15:01:15:939
0.0152,-0.0117,0.0546,43,2,42.54,15:01:16:938
0.0139,-0.0123,0.0734,42,2,41.976,15:01:17:939
-0.0083,0.0034,-0.0085,42.3879,2,45.028,15:01:18:939
-0.0048,0.0088,-0.0142,42.5897,2,38.148,15:01:19:939
-0.0322,-0.0206,0.0486,42.573,2,42.633,15:01:20:938
0.0168,0.0094,-0.0283,42.5819,2,41.653,15:01:21:939
0.015,0.0028,0.0308,41.828,2,41.49,15:01:22:938
-0.0129,0.0275,0.0493,41.8411,2,44.321,15:01:23:939
0.0125,0.026,0.0525,42.4106,2,43.782,15:01:24:938
-0.0034,-0.0159,0.0218,42.5793,2,44.983,15:01:25:938
0.0027,-0.022,-0.055,42.187,2,42.132,15:01:26:939
0.0053,0.0021,0.0212,41.4041,2,39.036,15:01:27:939
-0.0113,-0.0129,0.0421,41.4041,2,39.744,15:01:28:939
-0.0055,-5.00E-04,0.0556,41.4041,2,41.602,15:01:29:938
-0.0125,-0.0425,-0.0274,42,2,45.97,15:01:30:938
0.0255,-0.0038,0.0488,42.4204,2,38.435,15:01:31:938
-0.0195,-0.0155,0.0373,42.422,2,43.672,15:01:32:938
0.0299,-0.0038,0.0578,42.4213,2,45.431,15:01:33:938
0.0373,5.00E-04,-0.0274,42.1512,2,41.585,15:01:34:939
-0.0031,-0.016,0.0195,42.1803,2,42.07,15:01:35:938
0.0203,0.0254,-0.0575,41.8093,2,44.341,15:01:36:938
-0.0073,-0.0349,-0.0145,42.1687,2,43.418,15:01:37:939
-0.0038,0.0159,0.0118,42.1627,2,41.89,15:01:38:938
-0.0051,0.0059,-0.0542,42.5729,2,35.322,15:01:39:940
-0.0051,0.0028,0.0041,42.4159,2,41.969,15:01:40:939
0.0039,0.0084,-0.0115,42.4089,2,40.655,15:01:41:938
-0.021,0.0268,-0.0523,42.4152,2,44.577,15:01:42:939
0.0058,0.0219,-0.0284,42.4174,2,42.997,15:01:43:939
-0.0368,-0.0054,-0.0519,42.4079,2,44.5,15:01:44:939
0.0162,0.0212,-0.0128,42.1671,2,42.552,15:01:45:939
0.006,-0.0317,-0.0308,42.1673,2,44.309,15:01:46:940
0.0059,0.0218,-0.0121,43,2,43.728,15:01:47:952
-0.0021,0.0054,-0.037,42.5861,2,39.912,15:01:48:938
0.0137,-0.0066,-0.041,42.5827,2,45.395,15:01:49:938
0.0157,-0.0518,-0.0154,42.1443,2,43.192,15:01:50:938
0.0079,-0.0061,-0.0433,41.856,2,41.584,15:01:51:938
-0.0357,0.0035,0.0489,41.8265,2,41.311,15:01:52:938
0.0022,3.00E-04,0.0098,41.4126,2,44.104,15:01:53:938
-0.0149,-0.0175,0.0747,41.4126,2,44.253,15:01:54:939
-0.0041,0.033,-0.0599,41.4126,2,42.577,15:01:55:939
-0.0297,-0.0098,0.0394,42.5783,2,38.926,15:01:56:939
-0.0331,-0.0273,0.043,42.1675,2,43.922,15:01:57:939
0.0061,-0.0074,0.0251,42.1789,2,41.498,15:01:58:938
-0.0066,0.0159,-0.0378,42,2,42.779,15:01:59:939
-0.0103,0.0157,0.0163,42,2,43.26,15:02:00:939
-0.0085,0.0221,-0.0159,42,2,43.717,15:02:01:939
-0.0268,-0.0528,0.023,41.8296,2,40.197,15:02:02:939
0.0093,-0.0347,0.0286,41.8362,2,42.322,15:02:03:938
0.0273,-0.0408,0.0837,41.4134,2,42.809,15:02:04:939
-0.0221,0.0149,0.036,42.5925,2,41.69,15:02:05:938
-0.0048,-0.0165,0.0846,42.582,2,43.262,15:02:06:939
0.0263,-0.0096,-0.0195,43,2,39.136,15:02:07:939
0.0162,-0.0033,-0.08,42.5839,2,39.492,15:02:08:940
0.0157,-0.0127,-0.0423,42.584,2,34.06,15:02:09:939
-0.044,-0.0187,0.0369,41.5826,2,32.665,15:02:10:939
-0.0111,-0.0317,5.00E-04,42.5847,2,31.92,15:02:11:939
0.0291,0.0216,0.0017,42.5859,2,33.286,15:02:12:939
